catscore,accuracy
0.5430962032582317,1
0.9903884403079037,1
0.01632448845031096,0
0.9265890447721116,1
1.7034300387367396e-12,0
0.966189037458505,1
0.8377899206054608,1
0.6827159811660976,1
0.973930889999383,1
0.7338926519265073,1
0.8574686287186639,1
0.9857435922182124,1
0.9505673260612064,1
0.8479430507151678,1
0.9606787017605202,1
0.9798513036992105,1
0.9118226002282293,1
0.9468351334648873,1
0.9822333764390879,1
0.8963915552121303,1
0.3328878613852668,0
0.9340650665813577,1
0.9185800362319568,1
0.6312319610696258,1
0.913558127966528,1
0.9922394916188155,1
0.1533638701143122,0
0.7978220627455447,1
0.5386448795493823,1
0.987426120693493,1
0.5932363942262782,1
0.9555789649865358,1
3.827262744665617e-11,0
0.9354685705108211,1
0.5116657792445526,1
0.8448657399840824,1
0.9555789649865358,1
0.44111888712500663,0
0.5386448795493823,1
0.9758727196868202,1
0.9448045715043674,1
0.9643888285110536,1
0.474671059503369,0
0.9830708851651657,1
0.8634064040580965,1
0.9376321477500852,1
0.8641606538662517,1
0.474671059503369,0
0.9539862042604431,1
0.5430962032582317,1
0.4062323829876333,0
0.8479430507151678,1
0.6900582810451037,1
0.9731071873912146,1
0.8758694104996791,1
0.8448221563265217,1
0.258302416205697,0
0.9427479076032007,1
0.04171312350005824,0
0.7652009206886258,1
0.8086879994056635,1
0.9320509571303471,1
0.9685582011833542,1
0.5430962032582317,1
0.9773543509651791,1
0.8278971008302695,1
0.8377899206054608,1
0.9448045715043674,1
0.9639991142846119,1
0.9019965210205971,1
0.8931390032806765,1
0.9552422023285189,1
0.9217939752026751,1
0.9118226002282293,1
0.9900254025604303,1
0.5643329013760067,1
0.9448045715043674,1
0.8872117773667089,1
0.9774949974158196,1
0.48866007431927505,0
0.9630236197661294,1
0.8710897772804121,1
0.9877049221034987,1
0.9627443198628411,1
0.758917353819666,1
0.622601982808959,1
0.8086879994056635,1
0.9073939912887675,1
0.3751624258652182,0
0.9555789649865358,1
0.9194198035116542,1
0.843094911407361,1
0.9362949104269164,1
0.9850049317276586,1
0.9773207621548128,1
0.06162006560299568,0
0.1442394706875496,0
0.7757755778019407,1
0.9194198035116542,1
0.9555789649865358,1
0.6299736099612248,1
