Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,nofit,0.8479412565,1,nofit,0.3507932752,0,nofit,0.3507932752,0,nofit,0.8479412565,1,nofit,0.8479412565,1,nofit,0.3597610335,0,nofit,0.8479412565,1,nofit,0.9969364373,1,nofit,0.9862202519,1,nofit,0.8479412565,1,nofit,0.9862202519,1,nofit,0.9862202519,1,nofit,0.9957538709,1
CC(=O)/C(C)=C/c1ccccc1,CC(=O)[C@@H](C)Cc1ccccc1,nofit,0.9736613938,1,nofit,0.9736613938,1,nofit,0.3561608896,0,nofit,0.9606789236,1,nofit,0.9606789236,1,nofit,0.960679031,1,nofit,0.9280052658,1,nofit,0.9535469433,1,nofit,0.9535469433,1,nofit,0.9280051621,1,nofit,0.9606789236,1,nofit,0.9280051621,1,nofit,0.9280051621,1
Cc1cc2ccccc2[nH]1,C[C@@H]1Cc2ccccc2N1,0.9914426134,0.3610317369,0,0.8171285823,0.3541893668,0,0.6045353029,0.2840364887,0,0.5225506393,0.6945076854,1,0.9749940992,0.9798511905,1,0.7635820948,0.6206639499,1,0.9749940992,0.9798511905,1,0.9591944293,0.9784747621,1,0.9591944293,0.9798511905,1,0.9869679908,0.9798511905,1,0.9864237946,0.6206644308,1,0.9869679908,0.9798511905,1,0.9869679908,0.9798511905,1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,nofit,0.1621794079,0,nofit,0.9750201018,1,nofit,0.1621794079,0,nofit,0.1621794079,0,nofit,0.911822213,1,nofit,0.7485378694,1,nofit,0.91182241,1,nofit,0.911822213,1,nofit,0.911822213,1,nofit,0.911822213,1,nofit,0.911822213,1,nofit,0.911822213,1,nofit,0.8149841165,1
O=C(O)/C(=C/c1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,nofit,0.6750978298,1,nofit,0.9107554738,1,nofit,0.9382638442,1,nofit,0.9382638442,1,nofit,0.9468341705,1,nofit,0.9382637394,1,nofit,0.9382637394,1,nofit,0.9382638442,1,nofit,0.9382638442,1,nofit,0.9382638442,1,nofit,0.6448711248,1,nofit,0.9382638442,1,nofit,0.9389698188,1
CC(=O)N/C(=C\c1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F,not found,0.8754489539,1,not found,0.9827368061,1,not found,0.8820258819,1,not found,0.9827368061,1,not found,0.982233607,1,not found,0.9822337222,1,not found,0.982233607,1,not found,0.982233607,1,not found,0.982233607,1,not found,0.982233607,1,not found,0.982233607,1,not found,0.982233607,1,not found,0.982233607,1
O=C(O)/C(=C/c1ccccc1)OCc1ccccc1,O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,nofit,0.8801532042,1,nofit,0.9492291729,1,nofit,0.8516812938,1,nofit,0.9885385912,1,nofit,0.8963906937,1,nofit,0.9554699165,1,nofit,0.996624221,1,nofit,0.9885385912,1,nofit,0.9576155702,1,nofit,0.996624221,1,nofit,0.9885385912,1,nofit,0.5859834318,1,nofit,0.9885385912,1
CCOC(=O)/C=C(\C)c1ccc(Cl)cc1,CCOC(=O)C[C@H](C)c1ccc(Cl)cc1,nofit,0.7622385612,1,nofit,0.7899664392,1,nofit,0.93428523,1,nofit,0.1178641376,0,nofit,0.3328839328,0,nofit,0.9682488148,1,nofit,0.3328843693,0,nofit,0.9578100844,1,nofit,0.8401806237,1,nofit,0.9525459118,1,nofit,0.9149040564,1,nofit,0.1031457086,0,nofit,0.3328839328,0
C/C=C(\Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,not found,0.9402721594,1,not found,0.9733929294,1,not found,0.9684563987,1,not found,0.936804495,1,not found,0.9340649622,1,not found,0.9741058327,1,not found,0.9368042856,1,not found,0.936804495,1,not found,0.9340649622,1,not found,0.9340649622,1,not found,0.936804495,1,not found,0.9340649622,1,not found,0.936804495,1
COCC1=C(c2ccc(OC)cc2)CCCC1,COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,0.9802374201,0.8293880155,1,0.9267908314,0.7839035899,1,0.9988817353,0.6791061563,1,0.9977501689,0.4945206877,0,0.9887599671,0.9185799336,1,0.9624322309,0.8693391532,1,0.8378923983,0.8729244399,1,0.9965371087,0.8890583441,1,0.981800451,0.8478136495,1,0.981800451,0.872924622,1,0.9965371087,0.9185799336,1,0.981800451,0.9196690891,1,0.9965371087,0.8798425443,1
C=C(CCCC)OC(=O)C(C)(C)C,CCCC[C@H](C)OC(=O)c1ccccc1,nofit,0.5791591416,1,nofit,0.2234064839,0,nofit,0.5497126211,1,nofit,0.5791591416,1,nofit,0.6312350086,1,nofit,0.6305379102,1,nofit,0.561,1,nofit,0.630537027,1,nofit,0.04105687635,0,nofit,0.6282323228,1,nofit,0.630537027,1,nofit,0.6408253883,1,nofit,0.630537027,1
C/C=C(\Oc1ccc2ccccc2c1)C(=O)O,CC[C@H](Oc1ccc2ccccc2c1)C(=O)O,nofit,0.8984391429,1,nofit,0.962694146,1,nofit,0.9633256521,1,nofit,0.913558128,1,nofit,0.913558128,1,nofit,0.9752410428,1,nofit,0.9066663748,1,nofit,0.9066665707,1,nofit,0.913558128,1,0.5,0.913558128,1,nofit,0.913558128,1,nofit,0.913558128,1,nofit,0.9066665707,1
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,nofit,0.9343131369,1,nofit,0.9800072101,1,nofit,0.9740832055,1,nofit,0.9203696235,1,nofit,0.9922398446,1,nofit,0.9448646436,1,nofit,0.9825436608,1,nofit,0.9648403947,1,nofit,0.972236359,1,nofit,0.0005556985665,0,nofit,0.972236359,1,nofit,0.972236359,1,nofit,0.9690618112,1
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1,nofit,0.1533638701,0,nofit,0.9456391125,1,nofit,0.1533638701,0,nofit,0.9644288045,1,nofit,0.1533638701,0,nofit,0.9642882976,1,nofit,0.6180143815,1,nofit,0.9756822737,1,nofit,0.9756822737,1,nofit,0.6180143815,1,nofit,0.5070287071,1,nofit,0.9673584666,1,nofit,0.9456391125,1
CC(=O)N/C(C#N)=C/c1ccccc1,CC(=O)N[C@H](C#N)Cc1ccccc1,nofit,0.1622972291,0,nofit,0.02500420159,0,nofit,0.1622972291,0,nofit,0.1622972291,0,nofit,0.7978219914,1,nofit,0.797821076,1,nofit,0.7978216823,1,nofit,0.7978219914,1,nofit,0.7978219914,1,nofit,0.7978219914,1,nofit,0.7978219914,1,nofit,0.7978219914,1,nofit,0.7978219914,1
