Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy,target dft,f_theta,accuracy
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,0.9304632128,0.9445721117,1,0.9697383142,0.9407248389,1,0.9354339477,0.0944788263,0,0.9354339477,0.80301755,1,0.9354339477,0.8086881561,1,0.9354339477,0.8086890116,1,0.9354339477,0.8086881561,1,0.9354339477,0.8086881561,1,0.9354339477,0.8086881561,1,0.9354339477,0.8086881561,1,0.9354339477,0.8086881561,1,0.9354339477,0.8086881561,1,0.9405957251,0.4371986269,0
CC(=O)NC1=Cc2ccccc2CC1,CC(=O)N[C@H]1CCc2ccccc2C1,0.3369560059,0.4681955489,0,0.6842983504,0.2543114807,0,0.7462203495,0.4681955489,0,0.7462203495,0.4681955489,0,0.9177778787,0.758920181,1,0.9177778787,0.7589198191,1,0.9177778787,0.758920181,1,0.9177778787,0.758920181,1,0.9177778787,0.758920181,1,0.9177778787,0.758920181,1,0.9177778787,0.758920181,1,0.8328947756,0.4300626486,0,0.8341043397,0.6768351254,1
COC(=O)/C(=C/c1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1cccnc1)NC(C)=O,not_found,0.04387628117,0,not_found,0.112157281,0,not_found,0.02051445482,0,not_found,0.04387628117,0,not_found,0.9907811937,1,not_found,0.9968704448,1,not_found,0.9968704448,1,not_found,0.9968704448,1,not_found,0.9907811937,1,not_found,0.9907811937,1,not_found,0.9968704448,1,not_found,0.991260377,1,not_found,0.9968704448,1
C/C(=C\c1ccccc1)CO,C[C@H](CO)Cc1ccccc1,0.9392668234,0.3700685526,0,0.9925269855,0.07129527885,0,0.9891421203,0.1255690846,0,0.9720078405,0.1780864311,0,0.8897469825,0.8656444808,1,0.9216221169,0.3190782703,0,0.9891421203,0.4068424598,0,0.9891421203,0.4068424598,0,0.9891421203,0.7644218735,1,0.9891421203,0.9455485638,1,0.7517084849,0.4068424598,0,0.9557609572,0.9623678932,1,0.900659175,0.897124929,1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,0.9423860057,0.1102020997,0,0.9520269211,0.8483990183,1,0.9504024458,0.02958891553,0,0.9567971668,0.8446399401,1,0.957802827,0.9555786446,1,0.957802827,0.9555785342,1,0.957802827,0.9483469837,1,0.957802827,0.9555786446,1,0.957802827,0.8687205401,1,0.957802827,0.8573561322,1,0.9581766944,0.8687205401,1,0.9329560738,0.03295747001,0,0.957096618,0.9483468777,1
C=C(CCCC)c1ccccc1,CCCC[C@@H](C)c1ccccc1,not_found,0.1052968229,0,not_found,0.05411364581,0,not_found,0.1019253842,0,not_found,0.9013327095,1,not_found,0.87716344,1,not_found,0.9013329042,1,not_found,0.9013327095,1,not_found,0.9013327095,1,not_found,0.9013327095,1,not_found,0.9013327095,1,not_found,0.9013327095,1,not_found,0.9013327095,1,not_found,0.9163110335,1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,not_found,0.1621794079,0,not_found,0.9750201018,1,not_found,0.1621794079,0,not_found,0.1621794079,0,not_found,0.911822213,1,not_found,0.911822607,1,not_found,0.911822213,1,not_found,0.911822213,1,not_found,0.911822213,1,not_found,0.911822213,1,not_found,0.911822213,1,not_found,0.8149841165,1,not_found,0.9739291666,1
CCOC(=O)c1c(C)ncc2ccccc12,CCOC(=O)[C@@H]1c2ccccc2CN[C@@H]1C,0.848144489,0.8972111313,1,7.06E-06,0.9233652943,1,0.9400424237,0.6515415903,1,0.9400424237,0.8713308149,1,0.9400424237,0.8763505285,1,0.9400424237,0.8763505285,1,0.9400424237,0.8763505285,1,0.9400424237,0.8763505285,1,0.9400424237,0.8763505285,1,0.8505552941,0.8763505285,1,0.9400424237,0.8763505285,1,0.9400424237,0.8763505285,1,0.9400424237,0.8763502542,1
CC/C=C(/NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1,0.954671611,0.5872630276,1,0.2128181564,0.08116880586,0,0.8979924532,0.5872630276,1,0.6333262754,0.5872630276,1,0.6333262754,0.5872630276,1,0.6333262754,0.5872640077,1,0.6333262754,0.5872630276,1,0.6333262754,0.92914302,1,0.6333262754,0.5872630276,1,0.6333262754,0.5872630276,1,0.6333262754,0.5872630276,1,0.6333262754,0.5872630276,1,0.9661496679,0.9291434285,1
C/C(=N\c1ccccc1)c1ccccc1,C[C@@H](Nc1ccccc1)c1ccccc1,not_found,0.263094302,0,not_found,0.7145729341,1,not_found,0.7862625506,1,not_found,0.3041010849,0,not_found,0.4865067115,0,not_found,0.4601939483,0,not_found,0.86300497,1,not_found,0.6029755518,1,not_found,0.5975616127,1,not_found,0.9238168033,1,not_found,0.5709174588,1,not_found,0.6703859697,1,not_found,0.6003624161,1
C=C(C(=O)O)c1ccccc1,C[C@H](C(=O)O)c1ccccc1,0.9858320108,0.4443090539,0,0.640651655,0.03774569534,0,0.1092722912,0.970660134,1,0.9974086902,0.9627455357,1,0.9810659939,0.9627455357,1,0.9810659939,0.9627456469,1,0.9810659939,0.9627455357,1,0.9810659939,0.9627455357,1,0.9810659939,0.9627455357,1,0.9810659939,0.9627455357,1,0.9810659939,0.9627455357,1,0.9896521379,0.970660134,1,0.9896521379,0.9706603582,1
CCOC(=O)/C(F)=C(\C(=O)OCC)c1ccc(C(F)(F)F)cc1,CCOC(=O)[C@@H](F)[C@H](C(=O)OCC)c1ccc(C(F)(F)F)cc1,not_found,0.9883517771,1,not_found,0.9938004062,1,not_found,0.9835088327,1,not_found,0.9592218552,1,not_found,0.9966211805,1,not_found,0.9966211805,1,not_found,0.9966211805,1,not_found,0.9966211805,1,not_found,0.9956999468,1,not_found,0.9966211805,1,not_found,0.9966211805,1,not_found,0.9966211805,1,not_found,0.9966211805,1
C=C(CC(=O)c1ccc(Cl)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Cl)cc1)C(=O)O,not_found,0.9789979924,1,not_found,0.02268659767,0,not_found,0.02003254073,0,not_found,0.1502587321,0,not_found,0.9774012673,1,not_found,0.9727133558,1,not_found,0.9774012673,1,not_found,0.9774012673,1,not_found,0.9774012673,1,not_found,0.9774012673,1,not_found,0.9774012673,1,not_found,0.9774012673,1,not_found,0.9883173059,1
COC(=O)C1=COc2ccccc2O1,COC(=O)[C@H]1COc2ccccc2O1,0.8566499739,0.8580560863,1,0.9198774618,0.9668187842,1,0.9592931338,0.8955082333,1,0.9308815553,0.7966119263,1,0.8991042926,0.8078611511,1,0.9349311179,0.8592311594,1,0.8991042926,0.8078611511,1,0.8991042926,0.8078611511,1,0.8991042926,0.8592311594,1,0.8991042926,0.8078611511,1,0.8991042926,0.8078611511,1,0.9763583181,0.9943136916,1,0.9763583181,0.9943136916,1
CCN1CCc2ccccc2/C1=C/c1ccccc1,CCN1CCc2ccccc2[C@H]1Cc1ccccc1,not_found,0.9565740222,1,not_found,0.9650735606,1,not_found,0.9557655172,1,not_found,0.9464269369,1,not_found,0.9378122756,1,not_found,0.9378122756,1,not_found,0.9378122756,1,not_found,0.9439714035,1,not_found,0.9378122756,1,not_found,0.9705927614,1,not_found,0.9378122756,1,not_found,0.924387874,1,not_found,0.9378122756,1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,0.9711982271,0.8479412565,1,0.9795183482,0.3507932752,0,0.9177857514,0.3507932752,0,0.9177857514,0.8479412565,1,0.9776249141,0.8479412565,1,0.9427440621,0.8479412565,1,0.9519125983,0.9969364373,1,0.9519125983,0.9862202519,1,0.9519125983,0.8479412565,1,0.9177857514,0.9862202519,1,0.9369437296,0.9862202519,1,0.9824622687,0.9957538709,1,0.9604461355,0.6326165487,1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,0.978594116,0.1520167593,0,0.9686395202,0.6491947812,1,0.9300672035,0.6491947812,1,0.9584269029,0.1520167593,0,0.9385378627,0.4746700693,0,0.9491555277,0.9733743165,1,0.9541778788,0.5980045017,1,0.9357792585,0.64995109,1,0.9686395202,0.6491947812,1,0.9686395202,0.6491947812,1,0.9491555277,0.9733743165,1,0.9385378627,0.4746700693,0,0.9642262295,0.8455976189,1
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,0.9483607171,0.1037622171,0,0.9214344392,0.1037622171,0,0.9214344392,0.1390862688,0,0.878849505,0.1037622171,0,0.8822004973,0.5430965917,1,0.8766554737,0.6647255601,1,0.942001652,0.4904498707,0,0.9686298726,0.5677881874,1,0.942001652,0.5888440947,1,0.942001652,0.6854244768,1,0.9198779728,0.9737191419,1,0.9619868515,0.578171488,1,0.9537261241,0.8539596617,1
C/C=C(\C)C(=O)O,CC[C@H](C)C(=O)O,0.9810410306,0.6549000376,1,0.9362317891,0.8777209279,1,0.8039342126,0.9703051249,1,0.9906135088,0.9439865389,1,0.9836401982,0.9499888694,1,0.9836401982,0.8720148513,1,0.9634419299,0.8720153061,1,0.9634419299,0.9439865389,1,0.9634419299,0.9439865389,1,0.9634419299,0.8720153061,1,0.9890679145,0.9439865389,1,0.9906135088,0.952066235,1,0.9570457497,0.9508779276,1
O=C(O)/C(=C/c1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,0.8801313711,0.6750978298,1,0.8620044388,0.9107554738,1,0.9785674716,0.9382638442,1,0.9785674716,0.9382638442,1,0.9785674716,0.9468341705,1,0.9572689489,0.9382637394,1,0.9572689489,0.9382638442,1,0.9572689489,0.9382638442,1,0.9572689489,0.9382638442,1,0.9572689489,0.6448711248,1,0.9572689489,0.9382638442,1,0.9350041279,0.9389698188,1,0.9350041279,0.9389698188,1
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,0.9483607171,0.1037622171,0,0.9214344392,0.1037622171,0,0.9214344392,0.1390862688,0,0.878849505,0.1037622171,0,0.8822004973,0.5430965917,1,0.8766554737,0.6647255601,1,0.942001652,0.4904498707,0,0.9686298726,0.5677881874,1,0.942001652,0.5888440947,1,0.942001652,0.6854244768,1,0.9198779728,0.9737191419,1,0.9619868515,0.578171488,1,0.9421564159,0.2981737718,0
C=C(CC(=O)O)C(=O)O,C[C@@H](CC(=O)O)C(=O)O,0.9895639681,0.9670993887,1,0.8950746387,0.3309711799,0,0.9863654903,0.9670993887,1,0.9018200355,0.9670993887,1,0.9950152259,0.9670993887,1,0.9950152259,0.9670995003,1,0.9950152259,0.3309711799,0,0.9950152259,0.3309711799,0,0.9950152259,0.3309711799,0,0.9950152259,0.200550185,0,0.9018200355,0.200550185,0,0.9892410743,0.9528570924,1,0.9018200355,0.2005510935,0
C/C=C(/C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,0.8768189419,0.6139595161,1,0.8611137781,0.665470887,1,0.8749168064,0.1272448406,0,0.8752661765,0.6446318393,1,0.8939754354,0.8825060157,1,0.6846509884,0.914289797,1,0.8801499053,0.1903564128,0,0.8753318533,0.1903564128,0,0.8753318533,0.8298008666,1,0.8819323195,0.8298008666,1,0.8743478838,0.9360529603,1,0.8753827207,0.8024205542,1,0.8764183967,0.7783897948,1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,0.9423860057,0.1102020997,0,0.9520269211,0.8483990183,1,0.9504024458,0.02958891553,0,0.9567971668,0.8446399401,1,0.957802827,0.9555786446,1,0.957802827,0.9555786446,1,0.957802827,0.9483469837,1,0.957802827,0.9555786446,1,0.957802827,0.8687205401,1,0.957802827,0.8573561322,1,0.9581766944,0.8687205401,1,0.9329560738,0.03295747001,0,0.9447305237,0.9119791792,1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,0.978594116,0.1520167593,0,0.9686395202,0.6491947812,1,0.9300672035,0.6491947812,1,0.9584269029,0.1520167593,0,0.9385378627,0.4746700693,0,0.9491555277,0.9733743165,1,0.9541778788,0.5980045017,1,0.9357792585,0.64995109,1,0.9686395202,0.6491947812,1,0.9686395202,0.6491947812,1,0.9491555277,0.9733743165,1,0.9385378627,0.4746700693,0,0.9626342562,0.9740989507,1
C=C(CC(C)C)c1ccccc1,CC(C)C[C@H](C)c1ccccc1,0.8721313678,0.165674469,0,0.9982009814,0.02162166459,0,0.9903000918,0.9277675039,1,0.9669833358,0.03948977373,0,0.9498730243,0.9602208882,1,0.9669833358,0.9277675039,1,0.9647368731,0.976691952,1,0.7345470858,0.976691952,1,0.7345470858,0.976691952,1,0.9647368731,0.976691952,1,0.9669833358,0.976691952,1,0.9948573671,0.9484009993,1,0.9498730243,0.9602208882,1
COC(=O)/C=C(\NC(C)=O)c1ccccc1,COC(=O)C[C@@H](NC(C)=O)c1ccccc1,0.9793548737,0.00039368137,0,0.9790991062,0.9651090816,1,0.5531202192,0.9007897542,1,0.7537765816,0.00039368137,0,0.9951405092,0.794256876,1,0.5941136791,0.9523466234,1,0.55695495,0.9523466234,1,0.55695495,0.7962098097,1,0.55695495,0.6067582795,1,0.8563896112,0.7962098097,1,0.9965192106,0.9523466234,1,0.9892452171,0.8029574954,1,0.9892452171,0.8029571963,1
C=C(NC(C)=O)c1cccc(OC)c1,COc1cccc([C@@H](C)NC(C)=O)c1,0.9999943822,0.1084567721,0,0.06734496639,0.9429501262,1,0.9999999598,0.1084567721,0,0.9999999598,0.9604690495,1,0.9999999598,0.1084567721,0,0.9970910086,0.863102787,1,0.7724713663,0.9681711662,1,0.8242724958,0.9681711662,1,0.9909817558,0.863102967,1,0.9909817558,0.5441471092,1,0.9999789799,0.9681788449,1,0.06734496639,0.9429501262,1,4.60E-05,0.9737354126,1
CC(C)(C)OC(=O)N1CCC/C(=C\c2ccc(Cl)c(Cl)c2)C1=O,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccc(Cl)c(Cl)c2)C1=O,not_found,0.883441614,1,not_found,0.9021975371,1,not_found,0.9412137558,1,not_found,0.962095346,1,not_found,0.7502573471,1,not_found,0.962095346,1,not_found,0.962095346,1,not_found,0.962095346,1,not_found,0.962095346,1,not_found,0.962095346,1,not_found,0.962095346,1,not_found,0.962095346,1,not_found,0.962095346,1
COC(=O)/C(=C/c1ccc[nH]1)NC(C)=O,COC(=O)[C@H](Cc1ccc[nH]1)NC(C)=O,not_found,0.02991468293,0,not_found,0.04484832397,0,not_found,0.0160588529,0,not_found,0.02991468293,0,not_found,0.02991468293,0,not_found,0.9939331133,1,not_found,0.9948496202,1,not_found,0.0609761519,0,not_found,0.00701002221,0,not_found,0.9948496202,1,not_found,0.1077890593,0,not_found,0.9939331133,1,not_found,0.9948496202,1
CC(=O)NC1=C(C)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1C,0.9999226473,0.714873142,1,0.4762651198,0.793292845,1,0.9113029332,0.714873142,1,0.7567256876,0.714873142,1,0.8660886117,0.8634053362,1,0.0004651453105,0.8297394643,1,0.7886719205,0.8578797595,1,0.8615710457,0.6697481222,1,0.8615710457,0.6697481222,1,0.870256218,0.877267071,1,0.0004651453105,0.8612839926,1,0.8660202917,0.9090606182,1,0.4762651198,0.7932925495,1
CCOC(=O)/C=C(\C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,0.9541427519,0.9324242613,1,0.9902209348,0.3834635772,0,0.9788445742,0.1773089025,0,0.9018306809,0.7026293633,1,0.7011125581,0.8641611046,1,0.9999397967,0.940720616,1,0.9466967985,0.4404406096,0,0.9466967985,0.4404406096,0,0.7011125581,0.8641611046,1,0.9466967985,0.8641611046,1,0.9268844949,0.2175271188,0,0.9018306809,0.9790096539,1,0.9428252054,0.2543915586,0
C1=C(c2ccco2)Oc2ccccc2C1,c1coc([C@H]2CCc3ccccc3O2)c1,0.8074303471,0.8880546066,1,0.8772571216,0.872889034,1,0.8148647228,0.8880546066,1,0.8559634922,0.7916484324,1,0.8037781961,0.8294777332,1,0.8037781961,0.829477486,1,0.7519155789,0.8294777332,1,0.7519155789,0.7999686037,1,0.8037781961,0.8844156905,1,0.8559634922,0.8111558935,1,0.8559634922,0.7999686037,1,0.8037781961,0.8294777332,1,0.8379921337,0.9436122931,1
C=C(CC)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,0.8903841697,0.7560484001,1,0.898347349,0.891578214,1,0.9036170194,0.2570286824,0,0.9086654088,0.501109069,1,0.9086654088,0.501109069,1,0.9086654088,0.1860014599,0,0.8881122306,0.8919506858,1,0.9086654088,0.501109069,1,0.8881122306,0.501109069,1,0.8881122306,0.501109069,1,0.9086654088,0.501109069,1,0.8836869284,0.7670789362,1,0.9140578254,0.7259334224,1
C/C(=C\S(=O)(=O)c1ccc(C)cc1)c1ccc(Br)cc1,Cc1ccc(S(=O)(=O)C[C@@H](C)c2ccc(Br)cc2)cc1,not_found,0.9734342197,1,not_found,0.9851648116,1,not_found,0.9525365899,1,not_found,0.9269479717,1,not_found,0.9674071645,1,not_found,0.9269477576,1,not_found,0.9878372214,1,not_found,0.9915534063,1,not_found,0.9217297969,1,not_found,0.9915534063,1,not_found,0.9878372214,1,not_found,0.9915534063,1,not_found,0.9915534063,1
C=C(NC(C)=O)c1ccc(Br)cc1,CC(=O)N[C@H](C)c1ccc(Br)cc1,0.9555372767,0.470436579,0,0.4223894629,0.990480702,1,0.1674771734,0.470436579,0,0.9605051154,0.470436579,0,0.9901777908,0.9545595562,1,0.9901777908,0.470436579,0,0.9901777908,0.9964595254,1,0.9901777908,0.470436579,0,0.9901777908,0.9545595562,1,0.9901777908,0.9545595562,1,0.9605051154,0.470436579,0,0.4119498847,0.9915284031,1,0.9998929501,0.9707451298,1
COC(=O)/C(=C/C=C/c1ccc(Cl)cc1)NC(C)=O,COC(=O)[C@@H](C/C=C/c1ccc(Cl)cc1)NC(C)=O,not_found,0.9659639613,1,not_found,0.9973816463,1,not_found,0.9911532843,1,not_found,0.9973816463,1,not_found,0.9973816463,1,not_found,0.9973816463,1,not_found,0.9973816463,1,not_found,0.9973816463,1,not_found,0.9973816463,1,not_found,0.9973816463,1,not_found,0.9973816463,1,not_found,0.9881881625,1,not_found,0.9973816463,1
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,0.960564297,0.8897807662,1,0.9588234741,0.1514240841,0,0.9666548682,0.9703705616,1,0.9764304945,0.85866319,1,0.9750559352,0.9874264711,1,0.9666548682,0.9703705616,1,0.9666548682,0.9670201427,1,0.9666548682,0.9670201427,1,0.9666548682,0.9703705616,1,0.9666548682,0.9703705616,1,0.9666548682,0.9703705616,1,0.9773174757,0.9670201427,1,0.9586770294,0.974886748,1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,not_found,0.9448047827,1,not_found,0.9829490322,1,not_found,0.9745550145,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9829490322,1,not_found,0.9564621165,1
C=C(c1ccccc1)c1ccccc1C(=O)O,C[C@H](c1ccccc1)c1ccccc1C(=O)O,0.936427141,0.3006475716,0,0.9854766316,0.9362580363,1,0.9854766316,0.8109250736,1,0.06795057161,0.8881934652,1,0.9947665513,0.8881934652,1,0.9947665513,0.8881934652,1,0.9947665513,0.8881934652,1,0.9947665513,0.8881934652,1,0.9947665513,0.8881934652,1,0.9947665513,0.8881934652,1,0.9947665513,0.8881934652,1,0.9947665513,0.8881934652,1,0.7005984421,0.8711508775,1
COc1ccc(C2=CC(NC(C)=O)=CCC2)cc1,COc1ccc(C2=C[C@H](NC(C)=O)CCC2)cc1,not_found,0.0009269754738,0,not_found,0.0545121168,0,not_found,0.0009269754738,0,not_found,0.0009269754738,0,not_found,0.006172376902,0,not_found,0.006172376902,0,not_found,0.006172376902,0,not_found,0.006172376902,0,not_found,0.006172376902,0,not_found,0.006172376902,0,not_found,0.001031330134,0,not_found,0.0198663038,0,not_found,0.006172388675,0
COc1cc(/C=C(\C)NC(C)=O)cc(OC)c1,COc1cc(C[C@@H](C)NC(C)=O)cc(OC)c1,0.8186054808,0.4088353152,0,0.1236682214,0.6046068854,1,0.8067860404,0.4088353152,0,0.1273122544,0.7864216378,1,0.5850693372,0.6352073818,1,0.5850693372,0.7469535938,1,0.5850693372,0.6352073818,1,0.7114062302,0.5758617347,1,0.5850693372,0.6352073818,1,0.5850693372,0.6352073818,1,0.0004009264439,0.7776386871,1,0.9838614715,0.951655333,1,0.6324503408,0.6947788813,1
COC(=O)/C=C(\NC(C)=O)c1ccccc1,COC(=O)C[C@@H](NC(C)=O)c1ccccc1,0.9793548737,0.00039368137,0,0.9790991062,0.9651090816,1,0.5531202192,0.9007897542,1,0.7537765816,0.00039368137,0,0.9951405092,0.794256876,1,0.5941136791,0.9523467299,1,0.55695495,0.9523466234,1,0.55695495,0.7962098097,1,0.55695495,0.6067582795,1,0.8563896112,0.7962098097,1,0.9965192106,0.9523466234,1,0.9892452171,0.8029574954,1,0.3833522086,0.5654761976,1
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,0.908100575,0.8082149431,1,0.910796487,0.9473156366,1,0.9143840185,0.9067288152,1,0.9203104636,0.6833325963,1,0.9150180134,0.5829734672,1,0.9143840185,0.5532523136,1,0.9143840185,0.5532523136,1,0.9143840185,0.5532523136,1,0.9143840185,0.08055339136,0,0.9159882359,0.8797934593,1,0.9180098981,0.1903294563,0,0.9209438085,0.0821729568,0,0.9145487107,0.9206028763,1
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,0.908100575,0.8082149431,1,0.910796487,0.9473156366,1,0.9143840185,0.9067288152,1,0.9203104636,0.6833325963,1,0.9150180134,0.5829734672,1,0.9143840185,0.5532523136,1,0.9143840185,0.5532523136,1,0.9143840185,0.5532523136,1,0.9143840185,0.08055339136,0,0.9159882359,0.8797934593,1,0.9180098981,0.1903294563,0,0.9209438085,0.0821729568,0,0.9105258108,0.6523023827,1
COc1ccc2c(c1)CCC=C2C,COc1ccc2c(c1)CCC[C@@H]2C,0.8927892286,0.842614397,1,0.9081343148,0.7892288807,1,0.8978882788,0.8785114028,1,0.8967815236,0.5385100202,1,0.9032225968,0.8785114028,1,0.9143275388,0.8810012809,1,0.9138656589,0.5958241245,1,0.9032225968,0.9205688218,1,0.9032225968,0.8785114028,1,0.9032225968,0.8806384468,1,0.9032225968,0.8785114028,1,0.8978882788,0.9375399733,1,0.8944555876,0.8549268247,1
C=C(CCOC(=O)C(C)(C)C)B1OC(C)(C)C(C)(C)O1,C[C@H](CCOC(=O)C(C)(C)C)B1OC(C)(C)C(C)(C)O1,not_found,0.7508969422,1,not_found,0.7508969422,1,not_found,0.8502464365,1,not_found,0.7508969422,1,not_found,0.9432321449,1,not_found,0.9442579488,1,not_found,0.9711751515,1,not_found,0.9442580578,1,not_found,0.9418923982,1,not_found,0.9418923982,1,not_found,0.9165370709,1,not_found,0.9432321449,1,not_found,0.9432321449,1
CC(=O)N/C(=C\c1ccccc1)C(=O)O,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,0.9504385269,0.05713974557,0,0.9545835545,0.0122822339,0,0.9588497386,0.05713974557,0,0.9358488189,0.9845276748,1,0.9530266209,0.9853099828,1,0.9532006328,0.9052094792,1,0.953049819,0.9773478647,1,0.9469981832,0.9383676396,1,0.9537742556,0.9748050646,1,0.9537742556,0.9891471714,1,0.9539485529,0.04014037624,0,0.9531959953,0.9052096748,1,0.9532705528,0.9242077699,1
O=c1[nH]c(-c2ccccc2)co1,O=C1N[C@H](c2ccccc2)CO1,0.630142997,0.6615984635,1,0.7067603799,0.4747651417,0,0.5752047171,0.6995058823,1,0.6320391373,0.7366456324,1,0.8817245653,0.7366456324,1,0.8817245653,0.7366444688,1,0.8817245653,0.7366456324,1,0.8817245653,0.7366456324,1,0.8817245653,0.7366456324,1,0.8817245653,0.7366456324,1,0.8817245653,0.7366456324,1,0.8817245653,0.7366456324,1,0.5799628965,0.6847071005,1
COC(=O)/C(=C/c1ccc(C)o1)NC=O,COC(=O)[C@@H](Cc1ccc(C)o1)NC=O,0.8751338719,0.9337081561,1,0.9860973948,0.9485078736,1,0.8759873306,0.9969008165,1,0.8759873306,0.9337081561,1,0.8759873306,0.9337081561,1,0.9560063897,0.9723462797,1,0.9560063897,0.9723462797,1,0.9516870869,0.9723462797,1,0.9516870869,0.9723462797,1,0.9516870869,0.9723462797,1,0.8759873306,0.9337081561,1,0.5990442574,0.9963818348,1,0.9560063897,0.9723461674,1
CCOC(=O)CC1=CCCCC1C(=O)OC,CCOC(=O)C[C@H]1CCCCC1C(=O)OC,0.7775662812,0.6997462049,1,0.003575879377,0.436251235,0,0.5604089468,0.9382940721,1,0.9107621436,0.6997462049,1,0.9107621436,0.8710896994,1,0.8359294267,0.8710896994,1,0.9107621436,0.8710896994,1,0.9107621436,0.8710896994,1,0.9107621436,0.8710896994,1,0.9107621436,0.8710896994,1,0.9107621436,0.8710896994,1,0.9107621436,0.8710896994,1,0.9311978759,0.8896135888,1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,not_found,0.9448047827,1,not_found,0.9829490322,1,not_found,0.9745550145,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9448047827,1,not_found,0.9829490322,1,not_found,0.9843073717,1
CCCCCC1=CCc2[nH]ccc2C1,CCCCC[C@@H]1CCc2[nH]ccc2C1,not_found,0.8276058103,1,not_found,0.8863006468,1,not_found,0.8267074348,1,not_found,0.1662582962,0,not_found,0.9653936457,1,not_found,0.9653937572,1,not_found,0.9653936457,1,not_found,0.9653936457,1,not_found,0.02028070947,0,not_found,0.02028070947,0,not_found,0.02329505129,0,not_found,0.9653936457,1,not_found,0.9653936457,1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,0.9304307959,0.05519187569,0,0.9820369612,0.01704844501,0,0.9763824266,0.02544402281,0,0.842129955,0.05519187569,0,0.9954076629,0.9903885584,1,0.917814119,0.9582974102,1,0.9176389388,0.9582974102,1,0.917814119,0.9582974102,1,0.917814119,0.9656420395,1,0.9502062807,0.9582974102,1,0.917814119,0.9582974102,1,0.9806494485,0.9894652241,1,0.9540057179,0.9815992736,1
O=C1C=C(c2ccccc2)CCCN1,O=C1C[C@H](c2ccccc2)CCCN1,0.7973883492,0.4399142768,0,0.8049754709,0.4399142768,0,0.8954286804,0.4163449285,0,0.8954286804,0.4421274972,0,0.8525135818,0.7080784477,1,0.8525135818,0.7080772659,1,0.9266559653,0.7979971754,1,0.8525135818,0.7979971754,1,0.9266559653,0.7080784477,1,0.9266559653,0.7080784477,1,0.9266559653,0.7979971754,1,0.918049674,0.8850381937,1,0.918049674,0.8850381937,1
