Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy,target dft,f_theta,accuracy
C=C(CC(C)=O)C(=O)OC,COC(=O)[C@H](C)CC(C)=O,0.8767252283,0.6180467248,1,0.8687913317,0.6738721182,1,0.8898723488,0.6738721182,1,0.8874188787,0.6180467248,1,0.8844922396,0.9857437088,1,0.8874188787,0.889275777,1,0.8874188787,0.889275777,1,0.8874188787,0.9857437088,1,0.8874188787,0.889275777,1,0.8874188787,0.889275777,1,0.8874188787,0.889275777,1,0.8844922396,0.9857437088,1,0.8842821817,0.7892690083,1
CN1CCC=C1c1cccc(F)c1,CN1CCC[C@H]1c1cccc(F)c1,not_found,0.949158166,1,not_found,0.9228872854,1,not_found,0.6299371318,1,not_found,0.9273338586,1,not_found,0.9505684026,1,not_found,0.9505682963,1,not_found,0.8412144572,1,not_found,0.8412144572,1,not_found,0.9505684026,1,not_found,0.8412144572,1,not_found,0.857165733,1,not_found,0.9505684026,1,not_found,0.9505681901,1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,0.9711982271,0.8479412565,1,0.9795183482,0.3507932752,0,0.9177857514,0.3507932752,0,0.9177857514,0.8479412565,1,0.9776249141,0.8479412565,1,0.9427440621,0.8479412565,1,0.9519125983,0.9969364373,1,0.9519125983,0.9862202519,1,0.9519125983,0.8479412565,1,0.9177857514,0.9862202519,1,0.9369437296,0.9862202519,1,0.9824622687,0.9957538709,1,0.9212864203,0.3597610335,0
CC(=O)/C(C)=C/c1ccccc1,CC(=O)[C@@H](C)Cc1ccccc1,0.9431905751,0.9736613938,1,0.969281555,0.9736613938,1,0.9505293859,0.3561608896,0,0.9118579283,0.9606789236,1,0.9140812062,0.9606789236,1,0.9118579283,0.9280052658,1,0.9118579283,0.9535469433,1,0.9118579283,0.9535469433,1,0.9118579283,0.9280051621,1,0.9118579283,0.9606789236,1,0.9118579283,0.9280051621,1,0.9118579283,0.9280051621,1,0.9140812062,0.960679031,1
Cc1cc2ccccc2[nH]1,C[C@@H]1Cc2ccccc2N1,0.9922007478,0.3610317369,0,0.9341309385,0.3541893668,0,0.9795540278,0.2840364887,0,0.9795540278,0.6945076854,1,0.9795540278,0.9798511905,1,0.9795540278,0.9798511905,1,0.9795540278,0.9784747621,1,0.9795540278,0.9798511905,1,0.9795540278,0.9798511905,1,0.9795540278,0.6206644308,1,0.9795540278,0.9798511905,1,0.9795540278,0.9798511905,1,0.9696717071,0.6206639499,1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,not_found,0.1621794079,0,not_found,0.9750201018,1,not_found,0.1621794079,0,not_found,0.1621794079,0,not_found,0.911822213,1,not_found,0.91182241,1,not_found,0.911822213,1,not_found,0.911822213,1,not_found,0.911822213,1,not_found,0.911822213,1,not_found,0.911822213,1,not_found,0.8149841165,1,not_found,0.7485378694,1
O=C(O)/C(=C/c1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,0.8801313711,0.6750978298,1,0.8620044388,0.9107554738,1,0.9785674716,0.9382638442,1,0.9785674716,0.9382638442,1,0.9785674716,0.9468341705,1,0.9572689489,0.9382637394,1,0.9572689489,0.9382638442,1,0.9572689489,0.9382638442,1,0.9572689489,0.9382638442,1,0.9572689489,0.6448711248,1,0.9572689489,0.9382638442,1,0.9350041279,0.9389698188,1,0.9572689489,0.9382637394,1
CC(=O)N/C(=C\c1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F,not_found,0.8754489539,1,not_found,0.9827368061,1,not_found,0.8820258819,1,not_found,0.9827368061,1,not_found,0.982233607,1,not_found,0.982233607,1,not_found,0.982233607,1,not_found,0.982233607,1,not_found,0.982233607,1,not_found,0.982233607,1,not_found,0.982233607,1,not_found,0.982233607,1,not_found,0.9822337222,1
O=C(O)/C(=C/c1ccccc1)OCc1ccccc1,O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,not_found,0.8801532042,1,not_found,0.9492291729,1,not_found,0.8516812938,1,not_found,0.9885385912,1,not_found,0.8963906937,1,not_found,0.996624221,1,not_found,0.9885385912,1,not_found,0.9576155702,1,not_found,0.996624221,1,not_found,0.9885385912,1,not_found,0.5859834318,1,not_found,0.9885385912,1,not_found,0.9554699165,1
CCOC(=O)/C=C(\C)c1ccc(Cl)cc1,CCOC(=O)C[C@H](C)c1ccc(Cl)cc1,not_found,0.7622385612,1,not_found,0.7899664392,1,not_found,0.93428523,1,not_found,0.1178641376,0,not_found,0.3328839328,0,not_found,0.3328843693,0,not_found,0.9578100844,1,not_found,0.8401806237,1,not_found,0.9525459118,1,not_found,0.9149040564,1,not_found,0.1031457086,0,not_found,0.3328839328,0,not_found,0.9682488148,1
C/C=C(\Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,not_found,0.9402721594,1,not_found,0.9733929294,1,not_found,0.9684563987,1,not_found,0.936804495,1,not_found,0.9340649622,1,not_found,0.9368042856,1,not_found,0.936804495,1,not_found,0.9340649622,1,not_found,0.9340649622,1,not_found,0.936804495,1,not_found,0.9340649622,1,not_found,0.936804495,1,not_found,0.9741058327,1
