smiles1,map1,nbo_charge,bond_energy,Vbur,smiles2,map2,L,B1,B5
CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,cat_1706,2.446505,N/A,0.8307922568020872,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,lig_1092,7.779326691153546,2.2868308072208468,10.77400163934584
CC(C)(C)[C@@H]1<-N2=C(OC1)c1ccccc1P(c1ccccc1)(->c1ccccc1)[Ir+]2,cat_423,1.59413,-0.51538,0.6819267144986955,CC(C)(C)[C@H]1COC(c2ccccc2P(c2ccccc2)c2ccccc2)=N1,lig_524,10.564195815182005,4.152529154004981,6.786855223496989
Cc1ccc(S(=O)(=O)<-[N-]2[Ru+2]N(C)->[C@H](c3ccccc3)[C@H]2c2ccccc2)cc1,cat_918,0.019815,-0.538795,0.6879134830413716,CN[C@H](c1ccccc1)[C@H]([N-]S(=O)(=O)c1ccc(C)cc1)c1ccccc1,lig_8,7.328605830376855,4.312569149021572,7.760747757248888
CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4c(c3c3c5c(ccc3o2)CCCC5)CCCC4)->oc2ccc3c(c2c2c4c(ccc2o1)CCCC4)CCCC3,cat_766,1.8324449999999999,-0.49552,0.7999848583674991,CN(C)p1oc2ccc3c(c2c2c4c(ccc2o1)CCCC4)CCCC3,lig_1546,7.202902086280961,2.2717692210729727,10.517960000717899
CC(C)(C)c1cc(C(C)(C)C)cc(P2(c3cc(C(C)(C)C)cc(C(C)(C)C)c3)->c3cccc4c3[C@@]3(CCc5cccc(c53)C3=N(->CCO3)[Ir+]2)CC4)c1,cat_959,1.53661,-0.45094,0.7488876723816623,CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cccc3c2[C@@]2(CCc4cccc(C5=NCCO5)c42)CC3)cc(C(C)(C)C)c1,lig_39,10.082092871989573,2.6476259665601356,11.464287307565646
CC(C)(C)P12->[C@@H](c3ccccc3C1)[C@H]1<-P(C(C)(C)C)(Cc3ccccc31)[Rh+]2,cat_1689,1.507515,-0.47040000000000004,0.6566518356317554,CC(C)(C)P1Cc2ccccc2[C@H]1[C@@H]1c2ccccc2CP1C(C)(C)C,lig_279,6.364272599698924,2.6795226330306505,8.0762751723396
C[C@@H](Np1([Rh+]p2(N[C@H](C)c3ccccc3)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,cat_1370,1.836235,-0.5143850000000001,0.6325067554975773,C[C@@H](Np1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)c1ccccc1,lig_1317,9.133105643294074,2.820632697125504,9.155431328654268
CC(C)(C)P12->[C@H](CCC1)C1=N(->[C@@H](c3ccccc3)CO1)[Ir+]2,cat_1643,1.63427,-0.52546,0.7145452851285874,CC(C)(C)P1CCC[C@@H]1C1=N[C@@H](c2ccccc2)CO1,lig_1073,8.986165470509102,2.128427435016069,6.807807967445651
Cc1ccc(P2(->c3ccc(C)cc3)[Ru+2]P(c3ccc(C)cc3)(c3ccc(C)cc3)->c3cccc4c3C3(c5ccccc5-c5cccc2c53)c2ccccc2-4)cc1,cat_1312,1.09833,-0.44735,0.728976425642937,Cc1ccc(P(c2ccc(C)cc2)c2cccc3c2C2(c4ccccc4-3)c3ccccc3-c3cccc(P(c4ccc(C)cc4)c4ccc(C)cc4)c32)cc1,lig_604,8.272783091569226,3.577955774614667,12.034500519234157
CC(C)(C)P1(->C(C)(C)C)CC2=N(->[C@@H](c3ccccc3)CO2)[Ir+]1,cat_827,1.6219999999999999,-0.51562,0.7526090197540067,CC(C)(C)P(CC1=N[C@@H](c2ccccc2)CO1)C(C)(C)C,lig_122,8.29534934935553,3.716698779581756,8.236871381375371
c1ccc2c(c1)ccc1op(OC3CCCCC3)([Rh+]p3(OC4CCCCC4)->oc4ccc5ccccc5c4c4c(ccc5ccccc54)o3)->oc3ccc4ccccc4c3c12,cat_1478,1.8250350000000002,-0.500355,0.7508094949683191,c1ccc2c(c1)ccc1op(OC3CCCCC3)oc3ccc4ccccc4c3c12,lig_1638,7.264439646976523,2.808914668994741,8.079662484033287
Cc1ccc(P2(->c3ccc(C)cc3)[Ru+2]P(c3ccc(C)cc3)(c3ccc(C)cc3)->c3cccc4c3C3(c5ccccc5-c5cccc2c53)c2ccccc2-4)cc1,cat_1312,1.09833,-0.44735,0.728976425642937,Cc1ccc(P(c2ccc(C)cc2)c2cccc3c2C2(c4ccccc4-3)c3ccccc3-c3cccc(P(c4ccc(C)cc4)c4ccc(C)cc4)c32)cc1,lig_604,8.272783091569226,3.577955774614667,12.034500519234157
CC1(C)Op2(->oc3c([Si](C)(C)C)cccc3c3cccc([Si](C)(C)C)c3o2)[Ir+]N2->[C@H]1COC=2c1ccccc1,cat_1227,1.9195799999999998,-0.54749,0.749534103615356,CC(C)(Op1oc2c([Si](C)(C)C)cccc2c2cccc([Si](C)(C)C)c2o1)[C@@H]1COC(c2ccccc2)=N1,lig_1553,11.347128795815248,2.6662612722966204,7.688504586201084
CN(C)p1([Rh+]p2(N(C)C)->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)->oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,cat_1706,2.446505,N/A,0.8307922568020872,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,lig_1092,7.779326691153546,2.2868308072208468,10.77400163934584
C[C@H]1CC[C@H](C)<-P12[Rh+]P1(->[C@@H](C)CC[C@@H]1C)c1ccccc12,cat_1568,1.519255,-0.470945,0.6129216362281029,C[C@H]1CC[C@H](C)P1c1ccccc1P1[C@@H](C)CC[C@@H]1C,lig_1551,7.266353548120842,3.8943125465061685,7.250030266846478
CC1(C)OC2C3[C@@H](COp4(->oc5c(C(C)(C)C)cc(C(C)(C)C)cc5c5cc(C(C)(C)C)cc(C(C)(C)C)c5o4)[Ir+]S3->c3ccccc3)O[C@@H]2O1,cat_617,1.93013,-0.55715,0.7492021524412971,CC1(C)OC2C(Sc3ccccc3)[C@@H](COp3oc4c(C(C)(C)C)cc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc(C(C)(C)C)c4o3)O[C@@H]2O1,lig_628,10.330553054554976,2.0443616902578534,14.560046524015071
CC1(C)Op2(->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)[Ir+]N2->[C@H]1COC=2c1ccccc1,cat_1530,1.96051,-0.59265,0.6725854919865821,CC(C)(Op1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)[C@@H]1COC(c2ccccc2)=N1,lig_552,7.3014783662959,4.8998287461374295,8.962704288279454
C[C@@H]1c2c[c-]([Fe][c-]3cccc3)cc2-c2ccccc2P(c2ccccc2)(->c2ccccc2)[Ru+2]P1(c1ccccc1)->c1ccccc1,cat_1275,1.461635,-0.570385,0.841804882594111,C[C@H](c1c[c-]([Fe][c-]2cccc2)cc1-c1ccccc1P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,lig_1653,9.380107029524618,4.45614875478256,8.501952415594333
CC1(C)[C@@H]2CC[C@@]1(C)[C@H]1c3<-n(ccnc3)[Ir+]P(c3ccccc3)(->c3ccccc3)[C@H]21,cat_162,1.6844799999999998,-0.51817,0.6241730339172568,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](c1cnccn1)[C@@H]2P(c1ccccc1)c1ccccc1,lig_471,9.227157836794877,2.4091651620847436,9.724344030251348
CN(C)P1([Rh+]P2(N(C)C)->Oc3cccc4c3C3(CCc5cccc(c53)O2)CC4)->Oc2cccc3c2C2(CCc4cccc(c42)O1)CC3,cat_155,1.8274650000000001,-0.48883,0.77894963660082,CN(C)P1Oc2cccc3c2C2(CC3)CCc3cccc(c32)O1,lig_1445,6.245370729441184,2.7322525159636024,7.026117241501659
CC1(C)OP(C2CCCCC2)(->C2CCCCC2)[Ir+]N2->[C@@H](C(C)(C)C)CN(c3ccccc3)C=21,cat_531,1.68518,-0.51629,0.7237001490868431,CC(C)(OP(C1CCCCC1)C1CCCCC1)C1=N[C@@H](C(C)(C)C)CN1c1ccccc1,lig_833,8.767816980648456,3.9338799700984977,7.1583597173817015
Cc1ccccc1N1N(c2ccccc2C)p2(->oc3ccc4ccccc4c3c3c(ccc4ccccc43)o2)[Rh+]p12->oc1ccc3ccccc3c1c1c(ccc3ccccc31)o2,cat_1333,1.8471700000000002,-0.529705,0.5932724562057399,Cc1ccccc1N(N(c1ccccc1C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,lig_965,12.690293625004193,4.476363466491181,9.363895182382674
CCC(C)[C@@H]1<-N2=C(OC1)C1=CCC[C@]13CCC=C3P(c1ccccc1)(->c1ccccc1)[Ir+]2,cat_358,1.6095,-0.504,0.703357948192322,CCC(C)[C@H]1COC(C2=CCC[C@]23CCC=C3P(c2ccccc2)c2ccccc2)=N1,lig_1113,10.244461770955821,2.9699722717732095,8.867257374631713
CC1(C)[C@@H]2CC[C@@]1(C)[C@H]1c3<-n(ccnc3)[Ir+]P(c3ccccc3)(->c3ccccc3)[C@H]21,cat_162,1.6844799999999998,-0.51817,0.6241730339172568,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](c1cnccn1)[C@@H]2P(c1ccccc1)c1ccccc1,lig_471,9.227157836794877,2.4091651620847436,9.724344030251348
Fc1c(F)c(F)c([B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(CN3C4=N(->[C@@H]5CCCC[C@H]53)[Ir+]P(c3ccccc3)(->c3ccccc3)c3ccccc34)c(F)c2F)c(F)c1F,cat_133,1.53607,-0.4447,0.6425293514722326,Fc1c(F)c(F)c([B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(CN3C(c4ccccc4P(c4ccccc4)c4ccccc4)=N[C@@H]4CCCC[C@H]43)c(F)c2F)c(F)c1F,lig_1392,13.610648284856104,3.654782007700433,10.522430396608872
CC1(C)OC2C3[C@@H](COp4(->oc5c(C(C)(C)C)cc(C(C)(C)C)cc5c5cc(C(C)(C)C)cc(C(C)(C)C)c5o4)[Ir+]S3->c3ccccc3)O[C@@H]2O1,cat_617,1.93013,-0.55715,0.7492021524412971,CC1(C)OC2C(Sc3ccccc3)[C@@H](COp3oc4c(C(C)(C)C)cc(C(C)(C)C)cc4c4cc(C(C)(C)C)cc(C(C)(C)C)c4o3)O[C@@H]2O1,lig_628,10.330553054554976,2.0443616902578534,14.560046524015071
c1ccc(P2(->c3ccccc3OC3CCCCC3)CCP(c3ccccc3)(->c3ccccc3OC3CCCCC3)[Rh+]2)cc1,cat_1077,1.49799,-0.443925,0.7034860696980991,c1ccc(P(CCP(c2ccccc2)c2ccccc2OC2CCCCC2)c2ccccc2OC2CCCCC2)cc1,lig_1217,11.692072032963207,3.7549517405616353,7.3385221256490745
