Reactant,product,5p dft,5p catscore,accuracy,10p dft,10p catscore,accuracy,20p dft,20p catscore,accuracy,50p dft,50p catscore,accuracy,100p dft,100p catscore,accuracy,target dft,f_theta,accuracy,1layer,1layer catscore,accuracy,2layer,2layer catscore,accuracy,3layer,3layer catscore,accuracy,4layer,4layer catscore,accuracy,5layer,5layer catscore,accuracy,base dft,base catscore,accuracy,large dft,large catscore,accuracy
CCOC(=O)CC1=CCCCC1C(=O)OC,CCOC(=O)C[C@H]1CCCCC1C(=O)OC,0.8741735502,0.6997462049,1,0.1291206968,0.436251235,0,0.7599631275,0.9382940721,1,0.8741735502,0.6997462049,1,0.8828727653,0.8710896994,1,0.4018059638,0.9152784511,1,0.8828727653,0.8710898811,1,0.2832572597,0.8710896994,1,0.2832572597,0.8710896994,1,0.2832572597,0.8710896994,1,0.2832572597,0.8710896994,1,0.5,0.8710896994,1,0.2832572597,0.8710896994,1
O=C1C/C(=C/c2ccc(F)cc2)CCN1,O=C1C[C@H](Cc2ccc(F)cc2)CCN1,0.9763397242,0.8670190551,1,0.9763397242,0.8670190551,1,0.9863881808,0.8826759808,1,0.2383731682,0.7897204432,1,0.9485335417,0.9073931056,1,0.9918647257,0.869173291,1,0.8030632056,0.8933547252,1,0.9829929367,0.8933551978,1,0.9829929367,0.9073931056,1,0.9829929367,0.9073931056,1,0.9829929367,0.817774558,1,0.9829929367,0.9073931056,1,0.9829929367,0.9421449094,1
CCC/C=C(\OC(=O)c1ccccc1)P(=O)(OC)OC,CCCC[C@@H](OC(=O)c1ccccc1)P(=O)(OC)OC,0.9924378042,0.1495086726,0,0.8325777416,0.03087787862,0,0.8665940058,0.08441206438,0,0.8018336646,0.9394072325,1,0.8584321826,0.9362944919,1,0.8775705573,0.9150655279,1,0.8255621432,0.9396158927,1,0.7616507367,0.9396160012,1,0.9064682293,0.9227609673,1,0.2778910269,0.9396160012,1,0.8205305679,0.9362944919,1,0.9087182792,0.9396160012,1,0.8298414379,0.9396160012,1
COC(=O)/C(=C/c1ccc(Br)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(Br)cc1)NC(C)=O,0.9827447213,0.02506440726,0,0.9941265816,0.004527042233,0,0.9835551836,0.007096361819,0,0.9827447213,0.02506440726,0,0.9836066528,0.9850047042,1,0.9836066528,0.9850047042,1,0.9836066528,0.9850047042,1,0.991280985,0.9850047042,1,0.5,0.9850047042,1,0.991280985,0.9777563266,1,0.9914475424,0.9850047042,1,0.991280985,0.9850047042,1,0.991280985,0.6450722025,1
[H]/C=C(\NC(C)=O)C1=CC=CCC=C1,CC(=O)N[C@@H](C)C1=CC=CCC=C1,0.9997544106,0.1096030262,0,0.001336760126,0.02809671018,0,0.9646792204,0.1096030262,0,0.8144931362,0.8605115704,1,0.999927352,0.0616204182,0,0.8144931362,0.8605118397,1,0.9923695227,0.181716871,0,0.9172248207,0.6669305369,1,0.9343821424,0.1817165894,0,0.4472168419,0.0215989378,0,0.9129800636,0.8317561436,1,0.9172248207,0.7635893882,1,0.8714632704,0.8605115704,1
CC/C(=C\C(=O)OC)NC(C)=O,CC[C@@H](CC(=O)OC)NC(C)=O,0.9860091453,0.09413692357,0,0.9860091453,0.09413692357,0,0.3107295873,0.2198850816,0,0.9860091453,0.09413692357,0,0.9792918303,0.582131057,1,0.8845904423,0.8986712903,1,0.9742724084,0.9789819929,1,0.2531313042,0.8986710961,1,0.2531313042,0.9701579757,1,0.2531313042,0.582131057,1,0.2531313042,0.582131057,1,0.2531313042,0.582131057,1,0.2531313042,0.02487618601,0
O=C(NC1=Cc2ccccc2CC1)c1ccccc1,O=C(N[C@H]1CCc2ccccc2C1)c1ccccc1,0.9990733815,0.5947522153,1,0.7354197202,0.4621143473,0,0.6836009291,0.5947522153,1,0.9990733815,0.5947522153,1,0.9584448359,0.7294348164,1,0.9584448359,0.7294336642,1,0.6543181095,0.6075958197,1,0.9691267888,0.6715668519,1,0.9832113213,0.6420654794,1,0.9555222028,0.7294348164,1,0.9555222028,0.6420654794,1,0.9555222028,0.6420654794,1,0.7557226454,0.6479490115,1
CC(=O)NC1=CCCC(c2ccccc2)=C1,CC(=O)N[C@H]1C=C(c2ccccc2)CCC1,0.9171770369,0.7177341317,1,0.9786615161,0.9703534868,1,0.9171770369,0.7177341317,1,0.76029395,0.8015681385,1,0.9733546727,0.9604064683,1,0.7347288348,0.492903881,0,0.9733546727,0.9604063609,1,0.8423651233,0.9604064683,1,0.9080260544,0.9604064683,1,0.8910922678,0.9604064683,1,0.9080260544,0.9604064683,1,0.9080260544,0.9604064683,1,0.9733546727,0.9604064683,1
COC(=O)/C(=C/c1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1cccnc1)NC(C)=O,0.999995,0.04387628117,0,0.999995,0.112157281,0,0.999995,0.02051445482,0,0.999995,0.04387628117,0,0.999995,0.9907811937,1,0.999995,0.9968704448,1,0.999995,0.9968704448,1,0.999995,0.9968704448,1,0.999995,0.9968704448,1,0.999995,0.9907811937,1,0.999995,0.9907811937,1,0.999995,0.9968704448,1,0.999995,0.991260377,1
CC/C=C(/NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1,0.6125550459,0.5872630276,1,0.9620272205,0.08116880586,0,0.9748011682,0.5872630276,1,0.6125550459,0.5872630276,1,0.6125550459,0.5872630276,1,0.971178793,0.9291434285,1,0.6125550459,0.5872640077,1,0.9894543573,0.5872630276,1,0.9894543573,0.92914302,1,0.9894543573,0.5872630276,1,0.9894543573,0.5872630276,1,0.9894543573,0.5872630276,1,0.9894543573,0.5872630276,1
COC(=O)C1=COc2ccccc2O1,COC(=O)[C@H]1COc2ccccc2O1,0.9915954018,0.8580560863,1,0.8836758801,0.9668187842,1,0.9940423515,0.8955082333,1,0.9783078254,0.7966119263,1,0.9097026063,0.8078611511,1,0.9858244296,0.9943136916,1,0.9638815555,0.8592311594,1,0.9928386678,0.8078611511,1,0.9928386678,0.8078611511,1,0.9928386678,0.8592311594,1,0.9928386678,0.8078611511,1,0.9928386678,0.8078611511,1,0.9928386678,0.9943136916,1
CCOC(=O)/C=C(\C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,0.9441555734,0.9324242613,1,0.9327768797,0.3834635772,0,0.9744255375,0.1773089025,0,0.9744255375,0.7026293633,1,0.7311601826,0.8641611046,1,0.9500982726,0.2543915586,0,0.9455094769,0.940720616,1,0.5,0.4404406096,0,0.7751784011,0.4404406096,0,0.7751784011,0.8641611046,1,0.8231226614,0.8641611046,1,0.5,0.2175271188,0,0.8240744521,0.9790096539,1
C1=C(c2ccco2)Oc2ccccc2C1,c1coc([C@H]2CCc3ccccc3O2)c1,0.8001562846,0.8880546066,1,0.7600015873,0.872889034,1,0.8597362143,0.8880546066,1,0.5325156492,0.7916484324,1,0.7980809426,0.8294777332,1,0.7100898363,0.9436122931,1,0.7980809426,0.829477486,1,0.7354471045,0.8294777332,1,0.7354471045,0.7999686037,1,0.7377026838,0.8844156905,1,0.7377026838,0.8111558935,1,0.771124987,0.7999686037,1,0.7680072916,0.8294777332,1
C=C(NC(C)=O)c1ccc(Br)cc1,CC(=O)N[C@H](C)c1ccc(Br)cc1,0.9802339276,0.470436579,0,0.9867629447,0.990480702,1,0.9984344038,0.470436579,0,0.9802339276,0.470436579,0,0.986268953,0.9545595562,1,0.9989091796,0.9707451298,1,0.9802339276,0.470436579,0,0.9931813694,0.9964595254,1,0.9993427799,0.470436579,0,0.9926697974,0.9545595562,1,0.9993427799,0.9545595562,1,0.9931813694,0.470436579,0,0.9993427799,0.9915284031,1
COc1cc(/C=C(\C)NC(C)=O)cc(OC)c1,COc1cc(C[C@@H](C)NC(C)=O)cc(OC)c1,0.9179135543,0.4088353152,0,0.3145830413,0.6046068854,1,0.9179135543,0.4088353152,0,0.416352378,0.7864216378,1,0.650576522,0.6352073818,1,0.6742326174,0.6947788813,1,0.5,0.7469535938,1,0.5050991793,0.6352073818,1,0.5050991793,0.5758617347,1,0.5050991793,0.6352073818,1,0.5050991793,0.6352073818,1,0.7188654876,0.7776386871,1,0.4422230984,0.951655333,1
