Reactant,product,ee,nbo_charge,bond_energy,Vbur,L,B1,B5
CC(=O)N/C(=C\c1cccc(F)c1)C(=O)O,CC(=O)N[C@H](Cc1cccc(F)c1)C(=O)O,1,1.522825,-0.470795,0.6363562244,9.283497453,3.534725792,6.938908946
COC(=O)/C(=C/c1ccc(OC(C)=O)c(OC)c1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(OC(C)=O)c(OC)c1)NC(C)=O,1,1.52527,-0.468885,0.6591618524,7.26422468,3.417781681,6.960463413
CCOC(=O)/C=C(/c1ccccc1)P(=O)(OCC)OCC,CCOC(=O)CC(c1ccccc1)P(=O)(OCC)OCC,1,1.69298,-0.5145,0.6905807398,8.36477452,2.634392033,7.862790535
C=C(NC(C)=O)c1cccc(OC)c1,COc1cccc([C@@H](C)NC(C)=O)c1,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
[H]/C=C(\NC(C)=O)C1=CC=C(OC)CC=C1,COC1=CC=C([C@@H](C)NC(C)=O)C=CC1,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
C=C(C(=O)O)c1cccc2ccccc12,C[C@H](C(=O)O)c1cccc2ccccc12,1,1.620815,-0.535215,0.8663576221,13.666264,5.019695584,8.919674754
C=C(NC(C)=O)c1ccccc1,CC(=O)NC(C)c1ccccc1,1,1.49799,-0.443925,0.7034860697,11.69207203,3.754951741,7.338522126
C=C(NC(C)=O)c1ccc2ccccc2c1,CC(=O)N[C@@H](C)c1ccc2ccccc2c1,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,CC(C)=CCC[C@H](C)CCC[C@@H](C)CCO,1,0.96576,-0.49913,0.8557410082,8.151366884,4.161513479,9.182144486
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,1,1.772905,-0.49445,0.8738643776,8.022991494,3.938254681,9.276934917
C=C(NC(C)=O)P(=O)(OCC)OCC,CCOP(=O)(OCC)[C@H](C)NC(C)=O,1,1.49799,-0.443925,0.7034860697,11.69207203,3.754951741,7.338522126
C=C(CC)C(=O)O,CC[C@H](C)C(=O)O,1,1.620815,-0.535215,0.8663576221,13.666264,5.019695584,8.919674754
COC(=O)/C(=C/c1ccc([N+](=O)[O-])cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(C)=O,1,0.533935,-0.43242,0.7243698751,10.82263238,3.133586556,8.931329793
Cc1ccccc1/C=C(\OCc1ccccc1)C(=O)O,Cc1ccccc1C[C@H](OCc1ccccc1)C(=O)O,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,1,1.690555,-0.485035,0.6780539508,10.15305016,1.909089045,9.845223484
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,1,1.49799,-0.443925,0.7034860697,11.69207203,3.754951741,7.338522126
COC(=O)/C(=C/c1ccc(OC)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(OC)cc1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,1,1.51714,-0.44944,0.7869572307,7.696790819,5.072018338,9.504904779
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,1,1.52527,-0.468885,0.6591618524,7.26422468,3.417781681,6.960463413
O=C(O)/C(=C/c1cccc(C(F)(F)F)c1)Oc1ccccc1,O=C(O)[C@H](Cc1cccc(C(F)(F)F)c1)Oc1ccccc1,1,1.6177,-0.49298,0.7291220183,8.915081542,3.515328942,11.62153315
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,1,1.837575,-0.499,0.8454912877,10.86961539,1.728144103,10.38376124
COC(=O)/C(=C/c1ccc(OC)c(OC)c1)NC(=O)c1ccccc1,COC(=O)[C@H](Cc1ccc(OC)c(OC)c1)NC(=O)c1ccccc1,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
C=C(CC)c1ccccc1,CC[C@H](C)c1ccccc1,1,1.47715,-0.27688,0.6554055628,9.809875686,3.0964867,8.20403103
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,1,2.446505,N/A,0.8307922568,7.779326691,2.286830807,10.77400164
[H]/C=C(\NC(C)=O)C1=CC(OC)=CCC=C1,COC1=CCC=CC([C@@H](C)NC(C)=O)=C1,1,1.68393,-0.48441,0.6606352497,10.51479609,3.162726996,11.10256075
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,1,1.522825,-0.470795,0.6363562244,9.283497453,3.534725792,6.938908946
C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@@H](C)C(=O)O,1,1.575763333,-0.484175,0.6416616195,10.02995236,4.823767192,11.91867663
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@H](C)NC(C)=O)cc1,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
COC(=O)/C(=C/c1ccc(C#N)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(C#N)cc1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
COC(=O)/C(=C/c1ccc(OC)c(OC)c1)NC(C)=O,COC(=O)[C@H](Cc1ccc(OC)c(OC)c1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
COC(=O)/C(=C/c1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1cccnc1)NC(C)=O,1,1.49799,-0.443925,0.7034860697,11.69207203,3.754951741,7.338522126
CCCCC/C=C(\NC(C)=O)C(=O)OC,CCCCCC[C@@H](NC(C)=O)C(=O)OC,1,1.530035,-0.471975,0.6396058517,6.503487815,2.939213083,9.048513328
COC(=O)/C=C(\C)NC(C)=O,COC(=O)C[C@@H](C)NC(C)=O,1,1.52527,-0.468885,0.6591618524,7.26422468,3.417781681,6.960463413
CO/C(=C\c1cccc(Br)c1)C(=O)O,CO[C@@H](Cc1cccc(Br)c1)C(=O)O,1,1.6228,-0.49493,0.7303158777,10.21388909,3.546088835,10.51236583
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,1,1.500975,-0.440675,0.7266877097,10.99178309,3.288070002,9.100580169
COC(=O)/C(=C/c1ccc(C(F)(F)F)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(C(F)(F)F)cc1)NC(C)=O,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
C=C(NC(C)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(=O)N[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1,1.522825,-0.470795,0.6363562244,9.283497453,3.534725792,6.938908946
Cc1ccc(/C=C(\Oc2ccccc2)C(=O)O)cc1,Cc1ccc(C[C@H](Oc2ccccc2)C(=O)O)cc1,1,1.6177,-0.49298,0.7291220183,8.915081542,3.515328942,11.62153315
C=C(NC(C)=O)c1ccc(C(F)(F)F)cc1,CC(=O)N[C@@H](C)c1ccc(C(F)(F)F)cc1,1,1.777765,-0.50577,0.7899273202,11.64569407,4.188768222,8.699255529
C=C(NC(C)=O)c1ccc(Br)cc1,CC(=O)N[C@@H](C)c1ccc(Br)cc1,1,1.777765,-0.50577,0.7899273202,11.64569407,4.188768222,8.699255529
CC/C=C(\NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1,1,1.73128,-0.497835,0.8976425643,7.491897034,3.425046568,7.15558135
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,1,1.52527,-0.468885,0.6591618524,7.26422468,3.417781681,6.960463413
C=C(c1ccccc1C(=O)O)C1CCCCC1,CC(c1ccccc1C(=O)O)C1CCCCC1,1,1.53661,-0.45094,0.7488876724,10.08209287,2.647625967,11.46428731
C=C(NC(C)=O)c1ccc(C(F)(F)F)cc1,CC(=O)N[C@@H](C)c1ccc(C(F)(F)F)cc1,1,1.486675,-0.444365,0.7218889769,11.50616514,3.658182778,6.978065174
C=C(CC(=O)O)C(=O)O,C[C@H](CC(=O)O)C(=O)O,1,1.571683333,-0.483075,0.6370783638,9.061491119,2.863799559,13.75451773
C=C(c1ccccc1C(=O)O)c1c(C)cccc1C,Cc1ccc(C)c(C(C)c2ccccc2C(=O)O)c1,1,1.6234,-0.49906,0.7178997391,8.651468904,2.429143137,10.52973369
CCO/C=C(\OC(=O)c1ccccc1)P(=O)(OC)OC,CCOCC(OC(=O)c1ccccc1)P(=O)(OC)OC,1,1.660625,-0.522285,0.6515619176,9.837806669,3.569835762,8.609417757
C/C=C(\Oc1ccc(OC)cc1)C(=O)O,CC[C@H](Oc1ccc(OC)cc1)C(=O)O,1,1.6177,-0.49298,0.7291220183,8.915081542,3.515328942,11.62153315
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,1,1.73594,-0.54201,0.7853848304,8.454508193,2.752712559,9.286125829
